ID,Name,Age,Nationality,Overall,Club,Position,Club Logo,Value,Wage,Year,Value_spread,Wage_spread
28130,Ronaldinho,26,Brazil,91,FC Barcelona,Midfield,https://cdn.sofifa.org/teams/2/light/241.png,0,0,2007,0,0
1183,F. Cannavaro,32,Italy,91,Real Madrid,Defense,https://cdn.sofifa.org/teams/2/light/243.png,0,0,2007,0,0
113422,David Villa,24,Spain,89,Valencia CF,Forward,https://cdn.sofifa.org/teams/2/light/461.png,0,0,2007,0,0
13038,Puyol,28,Spain,89,FC Barcelona,Defense,https://cdn.sofifa.org/teams/2/light/241.png,0,0,2007,0,0
9676,Eto'o,25,Cameroon,89,FC Barcelona,Forward,https://cdn.sofifa.org/teams/2/light/241.png,0,0,2007,0,0
5479,Casillas,25,Spain,89,Real Madrid,GK,https://cdn.sofifa.org/teams/2/light/243.png,0,0,2007,0,0
111010,Vicente,24,Spain,88,Valencia CF,Forward,https://cdn.sofifa.org/teams/2/light/461.png,0,0,2007,0,0
23174,J. Riquelme,28,Argentina,88,Villarreal CF,Midfield,https://cdn.sofifa.org/teams/2/light/483.png,0,0,2007,0,0
5623,Cañizares,36,Spain,88,Valencia CF,GK,https://cdn.sofifa.org/teams/2/light/461.png,0,0,2007,0,0
1615,L. Thuram,34,France,88,FC Barcelona,Defense,https://cdn.sofifa.org/teams/2/light/241.png,0,0,2007,0,0
52058,M. Diarra,25,Mali,87,Real Madrid,Midfield,https://cdn.sofifa.org/teams/2/light/243.png,0,0,2007,0,0
49369,Fernando Torres,22,Spain,87,Atlético Madrid,Forward,https://cdn.sofifa.org/teams/2/light/240.png,0,0,2007,0,0
45186,Joaquín,24,Spain,87,Valencia CF,Forward,https://cdn.sofifa.org/teams/2/light/461.png,0,0,2007,0,0
10264,R. van Nistelrooy,29,Netherlands,87,Real Madrid,Forward,https://cdn.sofifa.org/teams/2/light/243.png,0,0,2007,0,0
1551,L. Giuly,29,France,87,FC Barcelona,Midfield,https://cdn.sofifa.org/teams/2/light/241.png,0,0,2007,0,0
250,D. Beckham,31,England,87,Real Madrid,Midfield,https://cdn.sofifa.org/teams/2/light/243.png,0,0,2007,0,0
136144,Robinho,22,Brazil,86,Real Madrid,Forward,https://cdn.sofifa.org/teams/2/light/243.png,0,0,2007,0,0
53769,Deco,28,Brazil,86,FC Barcelona,Midfield,https://cdn.sofifa.org/teams/2/light/241.png,0,0,2007,0,0
26709,R. Márquez,27,Mexico,86,FC Barcelona,Defense,https://cdn.sofifa.org/teams/2/light/241.png,0,0,2007,0,0
19896,Valerón,31,Spain,86,Deportivo de La Coruña,Midfield,https://cdn.sofifa.org/teams/2/light/242.png,0,0,2007,0,0
5744,E. Gudjohnsen,27,Iceland,86,FC Barcelona,Forward,https://cdn.sofifa.org/teams/2/light/241.png,0,0,2007,0,0
5099,G. Zambrotta,29,Italy,86,FC Barcelona,Defense,https://cdn.sofifa.org/teams/2/light/241.png,0,0,2007,0,0
1131,R. Ayala,33,Argentina,86,Valencia CF,Defense,https://cdn.sofifa.org/teams/2/light/461.png,0,0,2007,0,0
158023,L. Messi,19,Argentina,85,FC Barcelona,Forward,https://cdn.sofifa.org/teams/2/light/241.png,0,0,2007,0,0
155862,Sergio Ramos,20,Spain,85,Real Madrid,Defense,https://cdn.sofifa.org/teams/2/light/243.png,0,0,2007,0,0
138654,G. Milito,25,Argentina,85,Real Zaragoza,Defense,https://cdn.sofifa.org/teams/2/light/244.png,0,0,2007,0,0
136194,Luis Fabiano,25,Brazil,85,Sevilla FC,Forward,https://cdn.sofifa.org/teams/2/light/481.png,0,0,2007,0,0
112934,S. Milosevic,32,Serbia,85,CA Osasuna,Forward,https://cdn.sofifa.org/teams/2/light/479.png,0,0,2007,0,0
10535,Xavi,26,Spain,85,FC Barcelona,Midfield,https://cdn.sofifa.org/teams/2/light/241.png,0,0,2007,0,0
139036,R. Abbondanzieri,33,Argentina,84,Getafe CF,GK,https://cdn.sofifa.org/teams/2/light/1860.png,0,0,2007,0,0
106573,Valdés,24,Spain,84,FC Barcelona,GK,https://cdn.sofifa.org/teams/2/light/241.png,0,0,2007,0,0
