"","County Name","black","hispanic","native","el","swd","ed","act_composite","chronic_abs","suspended","expelled","grad","dropout","math_average","english_average","science_average","household_dollar","region_East TN","region_South Central","region_Northwest","region_Upper Cumberland","region_Southeast","region_First TN","region_Mid Cumberland","region_Southwest/Memphis","stud_tea_ratio"
"1","Anderson County",8.36666666666667,3.96666666666667,0.5,1.4,16.8,58.1333333333333,21.5,12.6,3.96666666666667,0.0333333333333333,91.85,4.3,67.1444444444444,60.1,69.2333333333333,47206,1,0,0,0,0,0,0,0,27.8761490082245
"2","Bedford County",11.2,20.6,0.5,9.4,10.9,69.9,18.4,8.6,2.2,0,90.8,5.4,53.2666666666667,56.025,52.1333333333333,47117,0,1,0,0,0,0,0,0,15.6067182487262
"3","Benton County",3.9,2.1,0.3,0,18.8,50.2,18.4,6.5,0,0,94.5,3,62,56.95,58.4,33702,0,0,1,0,0,0,0,0,14.248496993988
"4","Bledsoe County",1.5,6.8,0.6,2.3,19.7,83.5,19.2,9.1,2.4,0.1,92.4,6.9,59.9333333333333,50.575,49.5666666666667,40450,0,0,0,1,0,0,0,0,14.0909090909091
"5","Blount County",10.1666666666667,5.9,0.4,2.46666666666667,13,45.2333333333333,21.5666666666667,7.9,3.5,0.0666666666666667,94.6333333333333,4.4,70.0444444444445,68.5166666666667,73.0666666666667,51172,1,0,0,0,0,0,0,0,25.0093998553868
"6","Bradley County",9.3,11.55,0.3,4.9,12.85,62.3,18.85,15.65,5.45,0.05,88.6,8.95,55.1,57.2875,57.15,46381,0,0,0,0,1,0,0,0,23.8046068308181
"7","Campbell County",0.4,1.2,0.2,0.6,13.5,70.7,17.2,18.1,4.6,0,87.6,3.1,46.2,47.025,38.7333333333333,35377,1,0,0,0,0,0,0,0,15.7837679460885
"8","Cannon County",1.7,2.3,0.3,0.5,16.2,55.3,18.6,14.5,1.7,0,95.1,2.1,51.15,48.95,51.9333333333333,47457,0,0,0,1,0,0,0,0,14.5508982035928
"9","Carroll County",12.58,2.26,0.34,0.38,18,62.46,18.7,7.5,0.8,0.2,94.4,3.24,67.7533333333333,60.39,61.4666666666667,38201,0,0,1,0,0,0,0,0,487.333333333333
"10","Carter County",1.5,1.9,0.6,0.5,17,76.6,18.3,16.9,3.1,0,88.6,8,46.8,55.35,52.6333333333333,34625,0,0,0,0,0,1,0,0,12.8280318091451
"11","Cheatham County",3.4,2.8,0.4,1.05,15.8,51.6,21.1,13.6,4.5,0.05,93.9,4.4,61.2333333333333,60.925,65.6666666666667,56150,0,0,0,0,0,1,0,0,21.0425844346549
